step,wall_seconds,loss,learning_rate,reward_mean,reward_std,frac_zero_std_groups,completion_length_mean,entropy,kl,general_ppl,task_accuracy
34,132.05,0.0,0.0002,3.0,0.0,1.0,17.0,0.0006194956076797098,1.1230783462524414,,
35,134.77,0.0,0.0002,3.0,0.0,1.0,17.0,0.037718722596764565,1.136192500591278,27.78836441040039,
36,137.49,0.0,0.0002,2.125,0.9804592132568359,0.0,17.0,0.2537454441189766,1.5580021739006042,,
37,148.65,-0.0,0.0002,1.84375,0.4419417306780815,0.0,86.5,1.6098933219909668,10.544159889221191,,
38,164.28,0.0,0.0002,0.875,0.27439429610967636,0.0,128.0,0.2790015935897827,13.271880149841309,,
39,181.26,0.0,0.0002,0.59375,0.6241432428359985,0.0,128.0,0.22318751364946365,4.69299840927124,,
40,184.38,-0.0,0.0002,1.875,0.3535533845424652,0.5,16.0,0.05635945498943329,1.4014378190040588,28.097135543823242,0.828125
41,187.64,-0.0,0.0002,2.625,0.816463440656662,0.0,17.0,0.041205476969480515,1.1330085396766663,,
42,190.91,0.0,0.0002,3.0,0.0,1.0,17.0,0.0013006434892304242,1.1145407557487488,,
43,194.27,-0.0,0.0002,2.6875,0.5938674807548523,0.5,17.5,0.0893912985920906,1.7210309505462646,,
44,197.53,0.0,0.0002,3.0,0.0,1.0,17.0,0.03955620154738426,1.3931098580360413,,
45,200.74,-0.0,0.0002,2.875,0.3535533845424652,0.5,16.5,0.045500265434384346,1.9238136410713196,28.503376007080078,
46,203.94,0.0,0.0002,3.0,0.0,1.0,16.5,0.04329775832593441,1.8354244828224182,,
47,207.13,0.0,0.0002,2.0,0.0,1.0,16.5,0.037777164950966835,1.746016263961792,,
48,210.32,-0.0,0.0002,2.375,0.8880758583545685,0.0,16.5,0.057759735733270645,2.3662524223327637,,
49,213.37,0.0,0.0002,3.0,0.0,1.0,15.5,0.012911921745399013,1.5611949563026428,,
50,216.7,-0.0,0.0002,1.25,0.4629100561141968,0.5,17.5,0.11116926372051239,2.8800160884857178,28.79943084716797,
51,219.81,0.0,0.0002,2.0,0.0,1.0,16.0,0.005372822284698486,2.169806718826294,,
52,222.99,-0.0,0.0002,1.625,0.5175491571426392,0.5,16.5,0.14555389434099197,2.31668484210968,,
53,226.04,0.0,0.0002,1.0,0.0,1.0,15.5,0.08115122467279434,2.6325913667678833,,
54,234.6,-0.0,0.0002,1.90625,0.1293872892856598,0.5,49.9375,0.08824199065566063,6.877783536911011,,
55,237.62,0.0,0.0002,1.75,0.4629100561141968,0.5,15.5,0.06049066595733166,1.89665687084198,29.217281341552734,
56,240.71,0.0,0.0002,2.5,0.5345224738121033,0.5,16.0,0.06809884309768677,1.862582266330719,,
57,243.75,0.0,0.0002,1.9375,0.1767766922712326,0.5,15.5,0.08246563002467155,2.253662943840027,,
58,246.85,-0.0,0.0002,1.875,0.3535533845424652,0.5,16.0,0.03676077723503113,2.0538365840911865,,
59,250.16,0.0,0.0002,1.9375,0.1767766922712326,0.5,17.5,0.11486443132162094,3.245652198791504,,
60,253.37,0.0,0.0002,2.96875,0.0883883461356163,0.5,16.5,0.051749225705862045,2.8881837129592896,29.73598861694336,0.59375
61,256.69,0.0,0.0002,3.0,0.0,1.0,17.5,0.05464046634733677,2.4419002532958984,,
62,260.34,0.0,0.0002,2.0,0.0,1.0,20.0,0.14785513654351234,3.391107439994812,,
63,265.75,-0.0,0.0002,1.25,0.4629100561141968,0.5,32.5,0.1602327525615692,6.439918041229248,,
