step,wall_seconds,loss,learning_rate,reward_mean,reward_std,frac_zero_std_groups,completion_length_mean,entropy,kl,general_ppl,task_accuracy
45,183.19,0.0186,0.0002,2.625,0.5175491571426392,0.5,16.5,0.024770721793174744,0.46566586196422577,27.77279281616211,
46,185.95,0.0165,0.0002,3.0,0.0,1.0,17.0,0.0005442114488687366,0.4113520085811615,,
47,188.7,0.0158,0.0002,3.0,0.0,1.0,17.0,0.00048334457096643746,0.39558713138103485,,
48,197.91,0.0208,0.0002,1.5625,0.6943258494138718,0.0,23.9375,0.12678125500679016,0.5209659934043884,,
49,200.6,0.0171,0.0002,3.0,0.0,1.0,16.5,0.03028075397014618,0.42649656534194946,,
50,203.41,0.0364,0.0002,1.5,0.5345224738121033,0.5,17.0625,0.08418955747038126,0.9089902639389038,27.797077178955078,
51,206.24,0.0187,0.0002,2.0,0.0,1.0,17.0,0.0013543858076445758,0.4666290432214737,,
52,209.12,0.0164,0.0002,3.0,0.0,1.0,17.0,0.0007530661241617054,0.4093477874994278,,
53,213.27,0.0238,0.0002,1.9375,0.1767766922712326,0.5,18.5625,0.20085860701510683,0.5948220938444138,,
54,216.0,0.0169,0.0002,3.0,0.0,1.0,16.0,0.000506281852722168,0.42131587862968445,,
55,218.79,0.0163,0.0002,3.0,0.0,1.0,17.0,0.0019302928994875401,0.4076650142669678,27.827381134033203,
56,221.61,0.0166,0.0002,3.0,0.0,1.0,17.0,0.0006011514051351696,0.41433924436569214,,
57,224.35,0.0282,0.0002,2.0,0.0,1.0,16.5,0.021241676062345505,0.7048037797212601,,
58,227.15,0.0506,0.0002,1.125,0.3535533845424652,0.5,17.0,0.04171247407793999,1.264283299446106,,
59,229.97,0.0285,0.0002,2.0,0.0,1.0,17.0,0.02548064960865304,0.7116934657096863,,
60,232.77,0.0167,0.0002,3.0,0.0,1.0,16.5,0.0006539015157613903,0.41833265125751495,27.837852478027344,0.796875
61,235.56,0.0285,0.0002,2.0,0.0,1.0,17.0,0.0006651597796007991,0.713050439953804,,
62,238.33,0.0168,0.0002,3.0,0.0,1.0,17.0,0.0020895003981422633,0.41949281096458435,,
63,241.02,0.016,0.0002,3.0,0.0,1.0,16.5,0.0015294762561097741,0.400347501039505,,
64,243.77,0.0171,0.0002,2.875,0.3535533845424652,0.5,17.0,0.015974864916643128,0.42808404564857483,,
65,246.54,0.0164,0.0002,3.0,0.0,1.0,16.5625,0.03126624971628189,0.4111810624599457,27.83920669555664,
66,249.3,0.0178,0.0002,3.0,0.0,1.0,17.0,0.0008008059521671385,0.4441380798816681,,
67,252.0,0.0165,0.0002,3.0,0.0,1.0,16.5,0.0006204808596521616,0.41332679986953735,,
68,254.74,0.0242,0.0002,2.25,0.4629100561141968,0.5,17.0,0.027173210692126304,0.6052485555410385,,
69,257.55,0.0161,0.0002,3.0,0.0,1.0,17.0,0.0008472554909531027,0.40213510394096375,,
70,260.41,0.0194,0.0002,2.0,0.0,1.0,17.0,0.016353880550013855,0.485866442322731,27.867755889892578,
71,263.21,0.0165,0.0002,3.0,0.0,1.0,16.5,0.0009383944852743298,0.4116487205028534,,
72,266.04,0.0235,0.0002,2.0,0.0,1.0,17.0,0.03813818690832704,0.5884285718202591,,
73,268.86,0.0466,0.0002,1.0,0.0,1.0,17.0,0.06318774819374084,1.1653296947479248,,
74,271.68,0.0253,0.0002,1.25,0.4629100561141968,0.5,17.0,0.08015864714980125,0.6321357935667038,,
75,274.63,0.0191,0.0002,2.75,0.4629100561141968,0.5,17.0625,0.04887141703511588,0.4781161844730377,27.890029907226562,
76,277.42,0.0168,0.0002,3.0,0.0,1.0,16.5,0.0018306795391254127,0.41963811218738556,,
77,280.27,0.0293,0.0002,2.0,0.0,1.0,17.0,0.05358891628566198,0.733612671494484,,
78,283.04,0.017,0.0002,3.0,0.0,1.0,16.5,0.001662033493630588,0.4238445311784744,,
79,285.89,0.0373,0.0002,2.0,0.0,1.0,17.0,0.04266285989433527,0.9325680434703827,,
