step,wall_seconds,loss,learning_rate,reward_mean,reward_std,frac_zero_std_groups,completion_length_mean,entropy,kl,general_ppl,task_accuracy
0,0.0,,,,,,,,,27.595197677612305,0.625
1,20.91,-0.0,6.666666666666667e-05,0.75,1.214461088180542,0.0,24.1875,0.5299027562141418,0.0,,
2,33.73,-0.0,0.00013333333333333334,0.6875,1.2246951460838318,0.0,32.375,0.435224786400795,0.0,,
3,38.62,-0.0,0.0002,2.59375,0.8613058030605316,0.0,24.4375,0.2365700677037239,0.13513563573360443,,
4,41.55,0.0,0.0002,2.875,0.3535533845424652,0.5,17.9375,0.07398634031414986,0.1706903800368309,,
5,44.29,0.0,0.0002,3.0,0.0,1.0,16.875,0.040694118637475185,0.4328228831291199,27.49222755432129,
6,46.94,0.0,0.0002,2.75,0.4629100561141968,0.5,16.5,0.044036734849214554,0.4605627506971359,,
7,49.61,0.0,0.0002,3.0,0.0,1.0,16.5,0.0021718740463256836,0.427350789308548,,
8,52.33,-0.0,0.0002,2.875,0.3535533845424652,0.5,17.0,0.04282570444047451,0.4969412684440613,,
9,55.06,0.0,0.0002,3.0,0.0,1.0,17.0,0.0625415537506342,0.6571106761693954,,
10,58.06,0.0,0.0002,2.78125,0.4317220449447632,0.5,18.375,0.8713632524013519,0.8606662750244141,27.461437225341797,
11,60.78,0.0,0.0002,1.75,0.4629100561141968,0.5,16.9375,0.030361893528606743,1.1114739179611206,,
12,63.53,0.0,0.0002,3.0,0.0,1.0,17.0,0.0010197583178523928,0.8397786319255829,,
13,66.26,0.0,0.0002,3.0,0.0,1.0,17.0,0.000782293442171067,0.8252371549606323,,
14,69.05,-0.0,0.0002,2.84375,0.4419417306780815,0.0,16.5625,0.03204793389886618,0.9371017813682556,,
15,72.17,-0.0,0.0002,2.71875,0.5512984022498131,0.0,17.0625,0.055178623646497726,0.9464838802814484,27.418123245239258,
16,75.05,0.0,0.0002,2.84375,0.35197147727012634,0.5,16.75,0.026009006425738335,0.9143434464931488,,
17,77.79,0.0,0.0002,3.0,0.0,1.0,17.0,0.0004989960580132902,0.830068051815033,,
18,80.4,0.0,0.0002,1.0,0.0,1.0,16.0,0.0033050179481506348,1.9159338474273682,,
19,83.09,0.0,0.0002,1.375,0.5175491571426392,0.5,16.25,0.06642943620681763,1.4681586027145386,,
20,92.3,0.0,0.0002,0.96875,0.0883883461356163,0.5,24.0,0.04432971030473709,1.5635060667991638,27.3536319732666,0.203125
21,94.92,0.0,0.0002,1.0,0.0,1.0,16.0,0.00018864870071411133,2.0126293301582336,,
22,97.55,0.0,0.0002,2.0,0.0,1.0,16.5,0.00021247653057798743,1.1648558676242828,,
23,100.3,0.0,0.0002,1.0,0.0,1.0,16.25,0.03229778632521629,1.9911882877349854,,
24,102.91,0.0,0.0002,1.0,0.0,1.0,16.0,0.02172750234603882,1.8454654812812805,,
25,105.59,0.0,0.0002,2.75,0.4629100561141968,0.5,16.375,0.019248763099312782,0.9649702906608582,27.30596160888672,
26,108.24,0.0,0.0002,2.125,0.3535533845424652,0.5,16.0,0.013074204325675964,1.1345492601394653,,
27,111.04,0.0,0.0002,2.0,0.0,1.0,16.625,0.020436536520719528,1.8523109257221222,,
28,113.84,0.0,0.0002,2.0,0.0,1.0,16.5625,0.02557358890771866,1.1774718761444092,,
29,116.54,0.0,0.0002,3.0,0.0,1.0,16.5,0.001252609130460769,0.8610600233078003,,
30,119.28,0.0,0.0002,1.125,0.3535533845424652,0.5,17.0,0.061413224786520004,1.4180561304092407,27.30401611328125,
31,122.02,0.0,0.0002,2.0,0.7071067690849304,0.0,17.0,0.0380224771797657,0.8657263517379761,,
32,124.79,0.0,0.0002,3.0,0.0,1.0,17.0,0.0011439042864367366,0.825166642665863,,
33,127.56,0.0,0.0002,1.84375,0.8054837584495544,0.0,17.0,0.07597861438989639,0.9562232494354248,,
34,130.29,0.0,0.0002,3.0,0.0,1.0,17.0,0.005429548386018723,0.8346089720726013,,
35,133.03,0.0,0.0002,3.0,0.0,1.0,17.0,0.0025786231853999197,0.8401138186454773,27.341766357421875,
36,135.7,0.0,0.0002,1.96875,0.0883883461356163,0.5,16.5,0.03619973734021187,1.1235007047653198,,
37,138.51,-0.0,0.0002,2.875,0.3535533845424652,0.5,17.0625,0.04665611049858853,0.8237332701683044,,
38,141.23,-0.0,0.0002,2.0625,1.157734215259552,0.0,17.0,0.08801322244107723,0.9374238848686218,,
39,143.98,0.0,0.0002,3.0,0.0,1.0,17.0,0.000770849350374192,0.8354707062244415,,
40,159.63,0.0,0.0002,0.0,0.0,1.0,106.3125,0.5189631581306458,0.973686933517456,27.358413696289062,0.0
41,175.13,0.0,0.0002,0.03125,0.0883883461356163,0.5,46.5625,0.8899086266756058,1.8976805210113525,,
42,190.71,0.0,0.0002,0.375,0.7540738880634308,0.0,82.625,0.3533867076039314,8.92559266090393,,
43,207.04,-0.0,0.0002,0.25,0.4629100561141968,0.0,101.375,0.16700862348079681,1.2730377316474915,,
44,216.33,0.0,0.0002,2.28125,0.9435625076293945,0.0,23.9375,0.24695231020450592,1.2525125741958618,,
